,tweet_id,text,date,username,retweeted_status,retweet_count,likes,comments,comments_ids
1446947589463683076,1446947589463683076,RT @lemondefr: Vidéo. Abolition de la peine de mort : le discours de Robert Badinter en 1981 https://t.co/dk4Svs7VNf,2021-10-09 21:16:02+00:00,anne_sinclair,True,254,0,{'number of replies found': 0},[]
1446447664246239237,1446447664246239237,RT @PatrickKanner: La parole de Robert Badinter contre tous les falsificateurs de l'Histoire. PK,2021-10-08 12:09:31+00:00,anne_sinclair,True,105,0,{'number of replies found': 0},[]
1446060297798799361,1446060297798799361,Un sujet bouleversant lors du 20h hier de @France2tv https://t.co/x01HaROdeh,2021-10-07 10:30:16+00:00,anne_sinclair,True,114,313,"{'1446572514981912578': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv dramatique!!!', 'date': '2021-10-08 20:25:38+00:00', 'username': 'pitchounette133', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446523934040629272': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @ZohraBitan @France2tv La faute de l'Occident ?"", 'date': '2021-10-08 17:12:35+00:00', 'username': 'boche_o', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446451866527731738': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @Regnier_JM @France2tv Bouleversant de voir à quel point ces gens souffrent', 'date': '2021-10-08 12:26:13+00:00', 'username': 'RamelValerie', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446448575613972489': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Bouleversant et intolérable. Mais que peut on faire ✍️✍️✍️✍️✍️', 'date': '2021-10-08 12:13:08+00:00', 'username': 'DuboisUrsule', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446420943040098304': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Obligé ?????\nDemander à DSK qui s\'en fout plein les poches en échappant ""légalement""à l\'impôt !!!', 'date': '2021-10-08 10:23:20+00:00', 'username': 'ThierryTemime', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446402458847154176': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv C’est inacceptable! J’ai si mal pour eux 😢', 'date': '2021-10-08 09:09:53+00:00', 'username': 'me_nelly', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446395209500200960': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @ZohraBitan @France2tv Effectivement une ignominie, dommage si vous n'aviez pas dépenser tout votre… https://t.co/SsmwUolXe4"", 'date': '2021-10-08 08:41:05+00:00', 'username': 'LOG2202', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446390272909324288': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @ZohraBitan @France2tv Si elle le vend à un gentil et fortuné couple d'Occidentaux en mal d'enfant,… https://t.co/gwUiF1RdXL"", 'date': '2021-10-08 08:21:28+00:00', 'username': 'SergioSergiSer2', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446368018481754119': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv Les afghans combattants se font livrer des jeunes garçons sur le front. Les p… https://t.co/jnASoHCzgG', 'date': '2021-10-08 06:53:02+00:00', 'username': 'evabenhamou1', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446367056429989888': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv En France nous avons des milliers d’Enfants abusés par voie institutionnelle… https://t.co/eNqd2s8tQn', 'date': '2021-10-08 06:49:13+00:00', 'username': 'evabenhamou1', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446365305480097804': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv Alors ce couple avec ses deux enfants ne pourrait il pas être accueilli en Fr… https://t.co/6LgobYozfL', 'date': '2021-10-08 06:42:15+00:00', 'username': 'berangerblandi1', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446358026269700098': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @ZohraBitan @France2tv Je n'ai pas oublié la haine des afghans envers la France...\nhttps://t.co/vJEThTDd7H"", 'date': '2021-10-08 06:13:20+00:00', 'username': 'RedFox_Fr', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446356951697403945': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @ZohraBitan @France2tv Les talibans ont gagné la partie parce qu'ils étaient soutenus par la grande… https://t.co/gbU8dJwzRT"", 'date': '2021-10-08 06:09:03+00:00', 'username': 'ablette17', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446356501120102413': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @ZohraBitan @France2tv Aucune empathie.\n\nIls n'ont pas lutté au côté des forces armées occidentales… https://t.co/u9nx8WYgVZ"", 'date': '2021-10-08 06:07:16+00:00', 'username': 'RedFox_Fr', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446353841495158809': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv Lui donner l’argent via structure internationale 😡', 'date': '2021-10-08 05:56:42+00:00', 'username': 'cyclo33', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446353163070619651': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv Je n arrive pas à y croire c est atroce 😥', 'date': '2021-10-08 05:54:00+00:00', 'username': 'BonnelEliane', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446350787018465280': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Cette famille et ce bébé ne sont pas floutés et ça me choque. Aurions-nous faut ça en France ?', 'date': '2021-10-08 05:44:34+00:00', 'username': 'SoNENYSo', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446350265930690573': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Redire encore et toujours la pratique essentielle du reportage', 'date': '2021-10-08 05:42:29+00:00', 'username': 'hervebrusini', 'retweeted_status': False, 'retweet_count': 0, 'likes': 2}, '1446347417364934668': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv Terrible reportage, mais on s’attendait à quoi de la part de ces talibans?…', 'date': '2021-10-08 05:31:10+00:00', 'username': 'kerkyra81', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446343505962545164': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv T’aurais dû vendre ton mari toi 🙀', 'date': '2021-10-08 05:15:38+00:00', 'username': 'wilfried750z', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446341264660705308': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv Quelle détresse 🥺', 'date': '2021-10-08 05:06:43+00:00', 'username': 'Loiseau36175949', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446339514763554816': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @ZohraBitan @France2tv Un peu de mal qd même avec ça. Même au bout du rouleau je ne vendrai pas mon… https://t.co/BCMvOykNOY', 'date': '2021-10-08 04:59:46+00:00', 'username': 'devncow', 'retweeted_status': False, 'retweet_count': 0, 'likes': 7}, '1446311013817667584': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Kikilo', 'date': '2021-10-08 03:06:31+00:00', 'username': 'EugeneKaroubi', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446274721729875972': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @France2tv C'est insupportable. Ce qu'on fait les américains est une honte.\nComment ces parents vont vivre avec ça ?"", 'date': '2021-10-08 00:42:18+00:00', 'username': 'saphorocoeur', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446265736306077702': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @LeaSalame @France2tv Aucune situation ne peut excuser de vendre son enfant ....', 'date': '2021-10-08 00:06:36+00:00', 'username': 'franckd38635158', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446240149847875586': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Peut on les aider? Est il trop tard?', 'date': '2021-10-07 22:24:56+00:00', 'username': 'BeauvoirFatima', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446219047020924937': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Un choc', 'date': '2021-10-07 21:01:04+00:00', 'username': 'ParatteDaniell2', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446206254850920455': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @France2tv Quel désastre, ils ont faim, ils n'ont rien. Plus d'aide internationale, pourquoi?"", 'date': '2021-10-07 20:10:15+00:00', 'username': 'potirone', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446194575425642505': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @France2tv Alors, contente d'avoir vécu avec un violeur et un escroc aux impôts ?..."", 'date': '2021-10-07 19:23:50+00:00', 'username': 'Famille02934', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446189596430241796': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @France2tv Terrible... pourtant une solution. Leur offrir l'argent nécessaire pour qu'ils puissent g… https://t.co/Jx23EvBYB7"", 'date': '2021-10-07 19:04:03+00:00', 'username': 'laurentleb', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446188337153384460': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Je vous y croyais plus intelligente pour ne pas relayer ce type de reportage bidon !!!!', 'date': '2021-10-07 18:59:03+00:00', 'username': 'j_e_paquin', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446185952548999171': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Mais c’est monstrueux !', 'date': '2021-10-07 18:49:34+00:00', 'username': 'YvetteAmaraggi', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446157262339334147': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @CG7465CaroleM @France2tv Non', 'date': '2021-10-07 16:55:34+00:00', 'username': 'ArtemisVo', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446156127587155975': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @LeaSalame @France2tv Une catastrophe mondiale', 'date': '2021-10-07 16:51:03+00:00', 'username': 'HCroise', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446155806576152577': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Ce reportage m’avait échappé… je ne puis imaginer la détresse dans laquelle ces parents d… https://t.co/2sQMgn4bFg', 'date': '2021-10-07 16:49:47+00:00', 'username': 'qant1paris', 'retweeted_status': False, 'retweet_count': 0, 'likes': 4}, '1446138559858053127': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @LeaSalame @France2tv C'est abominable"", 'date': '2021-10-07 15:41:15+00:00', 'username': 'KepenneM', 'retweeted_status': False, 'retweet_count': 0, 'likes': 3}, '1446116559223545861': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Ce qui est terrible, c’est le fait que l’occident dénonce «On»s’émeut et «On»va voir d’au… https://t.co/iDz27iy8Sx', 'date': '2021-10-07 14:13:49+00:00', 'username': 'savyjerome', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446115392972214272': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv sans commentaire quand il s’agit d’un enfant', 'date': '2021-10-07 14:09:11+00:00', 'username': 'PierreTalamon', 'retweeted_status': False, 'retweet_count': 0, 'likes': 2}, '1446098180014235660': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @Steffie43214043 @France2tv @MaryseBurgot du grand journalisme . Effroyable réalité...', 'date': '2021-10-07 13:00:47+00:00', 'username': 'cwvadw', 'retweeted_status': False, 'retweet_count': 0, 'likes': 3}, '1446094630999765008': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @LeaSalame @France2tv https://t.co/t3PjxcajZD', 'date': '2021-10-07 12:46:41+00:00', 'username': 'henrythme', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446092132578742279': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @France2tv Dans d'autres pays c'est encore plus la misère, mais moins générateurs de pleurs .... Et… https://t.co/7sOiPt0b4x"", 'date': '2021-10-07 12:36:46+00:00', 'username': 'Stephbaume', 'retweeted_status': False, 'retweet_count': 0, 'likes': 4}, '1446088736840855558': {'tweet_id': '1446060297798799361', 'text': ""@anne_sinclair @LeaSalame @France2tv Quelques soient leur situation c'est inadmissible qu'il échange leur enfant contre de l'argent."", 'date': '2021-10-07 12:23:16+00:00', 'username': 'Bigbms2021', 'retweeted_status': False, 'retweet_count': 0, 'likes': 3}, '1446084348541800448': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Terrible', 'date': '2021-10-07 12:05:50+00:00', 'username': 'GanonJocelyne', 'retweeted_status': False, 'retweet_count': 0, 'likes': 2}, '1446080032674394116': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Ce reportage m a brisé le cœur  😰', 'date': '2021-10-07 11:48:41+00:00', 'username': 'africarisingtwe', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446075663925010441': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv 😥😥😥', 'date': '2021-10-07 11:31:19+00:00', 'username': 'StellaMoliner', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446068656971079683': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Bouleversant 😢', 'date': '2021-10-07 11:03:29+00:00', 'username': 'Franois91692222', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446062402102042630': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Ce qui est plus ""bouleversant"" encore, c\'est la #GPA réclamée par des #bobos français bis… https://t.co/OkdWDUBhmX', 'date': '2021-10-07 10:38:37+00:00', 'username': 'GoldorakSon', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446061601535188998': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Et nous pendant ce temps on se plaint d’avoir un vaccin et on met @ZemmourEric au second tour….', 'date': '2021-10-07 10:35:26+00:00', 'username': 'Concomb09900009', 'retweeted_status': False, 'retweet_count': 0, 'likes': 13}, '1446061143508889603': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Oui…🥺', 'date': '2021-10-07 10:33:37+00:00', 'username': 'MariePicasso', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446061018459824129': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Fallez  pas  gueuler  "" US go  homme ""     ...', 'date': '2021-10-07 10:33:07+00:00', 'username': 'PoldeLeo', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, '1446060546877444101': {'tweet_id': '1446060297798799361', 'text': '@anne_sinclair @France2tv Horrible', 'date': '2021-10-07 10:31:15+00:00', 'username': 'fxv369', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 51}","['1446572514981912578', '1446523934040629272', '1446451866527731738', '1446448575613972489', '1446420943040098304', '1446402458847154176', '1446395209500200960', '1446390272909324288', '1446368018481754119', '1446367056429989888', '1446365305480097804', '1446358026269700098', '1446356951697403945', '1446356501120102413', '1446353841495158809', '1446353163070619651', '1446350787018465280', '1446350265930690573', '1446347417364934668', '1446343505962545164', '1446341264660705308', '1446339514763554816', '1446311013817667584', '1446274721729875972', '1446265736306077702', '1446240149847875586', '1446219047020924937', '1446206254850920455', '1446194575425642505', '1446189596430241796', '1446188337153384460', '1446185952548999171', '1446157262339334147', '1446156127587155975', '1446155806576152577', '1446138559858053127', '1446116559223545861', '1446115392972214272', '1446098180014235660', '1446094630999765008', '1446092132578742279', '1446088736840855558', '1446084348541800448', '1446080032674394116', '1446075663925010441', '1446068656971079683', '1446062402102042630', '1446061601535188998', '1446061143508889603', '1446061018459824129', '1446060546877444101']"
1444637609829994505,1444637609829994505,"RT @coherence_e: Le 3 octobre 1940, le régime de Vichy promulgue le premier ""statut des Juifs"", qui les bannit de certaines professions. C'…",2021-10-03 12:17:00+00:00,anne_sinclair,True,1175,0,{'number of replies found': 0},[]
1444220074978594816,1444220074978594816,@thomassnegaroff @Gallimard … et c’est un drôlement bon livre!,2021-10-02 08:37:52+00:00,anne_sinclair,True,2,14,{'number of replies found': 0},[]
1443336085447356419,1443336085447356419,"À ne surtout pas manquer! C’est joyeux, drôle, passionnant et très réussi. 👏 @MarionVanR https://t.co/RaOVpey8aA",2021-09-29 22:05:13+00:00,anne_sinclair,True,52,164,{'number of replies found': 0},[]
1437704082823815170,1437704082823815170,Marre d’entendre débattre quotidiennement d’#EricZemmour dont on connait les propos depuis des années qu’il les a a… https://t.co/1Rp2lOSGPS,2021-09-14 09:05:39+00:00,anne_sinclair,True,1750,8385,"{'1445075216984682512': {'tweet_id': '1437704082823815170', 'text': ""@anne_sinclair Étiez vous au courant l'ampleur des fraudes de Dsk, de son hypocrisie et de ses mensonges. Pensez vo… https://t.co/iwgSrFGbvO"", 'date': '2021-10-04 17:15:54+00:00', 'username': 'Kovacs24281548', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1444787220234317835': {'tweet_id': '1437704082823815170', 'text': '@anne_sinclair La France mérite mieux que les vieilles idées de notre gauche qui pense détenir la vérité du pays.\nL… https://t.co/g4QbHAUxIE', 'date': '2021-10-03 22:11:30+00:00', 'username': 'the_folie_douce', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1444317610611519488': {'tweet_id': '1437704082823815170', 'text': '@anne_sinclair Vous n’aviez pas marre d’entendre le roi du Maroc pourtant… le discours est pourtant le même!\n\n https://t.co/2uhCQXW4ne', 'date': '2021-10-02 15:05:27+00:00', 'username': 'renardbordelais', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1444164681430618117': {'tweet_id': '1437704082823815170', 'text': '@anne_sinclair Et toi? Marre d’entendre que vous êtes victimes de dsk.vous êtes pas foutu de voir ce qu’étais votre… https://t.co/zhEKwaPkh5', 'date': '2021-10-02 04:57:45+00:00', 'username': 'ScaniaTophe', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1444160402946920449': {'tweet_id': '1437704082823815170', 'text': ""@anne_sinclair C est de bonne augure pour M Zemmour qu' elle le déteste , les candidats qu' elle appuie n ont pas de chance."", 'date': '2021-10-02 04:40:45+00:00', 'username': 'Erick47388069', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 5}","['1445075216984682512', '1444787220234317835', '1444317610611519488', '1444164681430618117', '1444160402946920449']"
1437699904974073861,1437699904974073861,RT @Mike_Bresson: Ils sont Français pour l’éternité Quelqu’un peut expliquer à Éric Zemmour que ces soldats Français sont morts pour la Fra…,2021-09-14 08:49:03+00:00,anne_sinclair,True,155,0,{'number of replies found': 0},[]
1437698363319885828,1437698363319885828,RT @lofejoma: Les mots de Zemmour changent de statuts… ce sont maintenant des propositions politiques à décortiquer : discours oscillant en…,2021-09-14 08:42:55+00:00,anne_sinclair,True,110,0,{'number of replies found': 0},[]
1437668305012236289,1437668305012236289,Un film remarquable sur #RobertBadinter hier soir sur @France3tv A revoir en replay jusqu’en novembre je crois. Un… https://t.co/igF5xGM2m4,2021-09-14 06:43:29+00:00,anne_sinclair,True,159,883,{'number of replies found': 0},[]
1447051071113867267,1447051071113867267,"Imagine a world without $SHIB.

You can't because it's too painful a thought to bare.

Few understand this.",2021-10-10 04:07:14+00:00,leadlagreport,True,71,256,"{'1447102543692107779': {'tweet_id': '1447051071113867267', 'text': '@leadlagreport https://t.co/mnE68y1r1i', 'date': '2021-10-10 07:31:46+00:00', 'username': 'ShiBNeverDie1', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1447099081864761346': {'tweet_id': '1447051071113867267', 'text': '@leadlagreport Bear', 'date': '2021-10-10 07:18:01+00:00', 'username': 'HartmanPharr', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 2}","['1447102543692107779', '1447099081864761346']"
1447011658317156354,1447011658317156354,Exquisite. https://t.co/7Q19rJ8Atv,2021-10-10 01:30:38+00:00,leadlagreport,True,1,35,{'number of replies found': 0},[]
1447011544697606144,1447011544697606144,@jdasovic2 Few.,2021-10-10 01:30:11+00:00,leadlagreport,False,0,1,{'number of replies found': 0},[]
1446989819461124096,1446989819461124096,Is the sky blue? https://t.co/SR2DZr1PrG,2021-10-10 00:03:51+00:00,leadlagreport,True,14,86,{'number of replies found': 0},[]
1446970992203546630,1446970992203546630,"Homes in Manhattan enjoyed their busiest third quarter in over 30 years. Compared to Q3 2020, the third quarter of… https://t.co/6CWjLx4Br0",2021-10-09 22:49:02+00:00,leadlagreport,True,1,16,{'number of replies found': 0},[]
1446961976014430208,1446961976014430208,"Gonna price my Lambo in Doge divided by Shib and make money.

Few understand this.",2021-10-09 22:13:12+00:00,leadlagreport,True,18,163,{'number of replies found': 0},[]
1446961785186172928,1446961785186172928,Exquisite. https://t.co/nQ773QUQ6o,2021-10-09 22:12:27+00:00,leadlagreport,True,34,167,{'number of replies found': 0},[]
1446961260797509634,1446961260797509634,@v19003 Few.,2021-10-09 22:10:22+00:00,leadlagreport,False,0,1,{'number of replies found': 0},[]
1446960987194675203,1446960987194675203,Few understand this. https://t.co/TARKKYBxIU,2021-10-09 22:09:17+00:00,leadlagreport,False,0,18,{'number of replies found': 0},[]
1446960818927587328,1446960818927587328,@wealthchanger1 Exquisite.,2021-10-09 22:08:37+00:00,leadlagreport,False,0,0,{'number of replies found': 0},[]
